"","saSampledDate","Sample.Number","Purpose","puDescription","saSampledTime","saSamplePerson","saSamplingCondition","Zone.Code","Zone.Name","Location","Sampling.Point","End.Note","Inserted.By","Inserted.Date","Modified.By","Modified.Date","deDetShortName","Determinand","Result","Result.Flag","Result.Value","Method","Check","reNZHealth","Lab","reLabSampleNumber","Inserted.By2","Inserted.Date3","Modified.By4","Modified.Date5","date","ReportWeek"
"1",2016-05-29,"WT03931","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","Havelock North Library","  {by BSC 210716 16:43 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","3.6","",3.6,"ReadyC",TRUE,"T","WatTestHB","0664/1","BSC","21-Jul-16","mpk","21-Jul-16",2016-05-29,2016-06-03
"2",2016-05-26,"WT03695","Mo","Monitoring","9:01","","","HAV001HA","Havelock North","","Havelock North Library","  {by BSC 210716 16:20 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1","",1,"ReadyC",TRUE,"T","WatTestHB","0648/4","BSC","21-Jul-16","mpk","21-Jul-16",2016-05-26,2016-05-27
"3",2016-02-11,"WT03442","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","17 Hikanui Place ©","  {by BSC 210716 16:15 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1.1","",1.1,"ReadyC",TRUE,"T","WatTestHB","0198/3","BSC","21-Jul-16","mpk","21-Jul-16",2016-02-11,2016-02-12
"4",2016-02-11,"WT03444","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","54 Hikanui Drive ©","  {by BSC 210716 16:15 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1.1","",1.1,"ReadyC",TRUE,"T","WatTestHB","0198/5","BSC","21-Jul-16","mpk","21-Jul-16",2016-02-11,2016-02-12
"5",2016-02-11,"WT03445","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","24 Tauroa Valley Road ©","  {by BSC 210716 16:15 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1.1","",1.1,"ReadyC",TRUE,"T","WatTestHB","0198/6","BSC","21-Jul-16","mpk","21-Jul-16",2016-02-11,2016-02-12
"6",2016-02-11,"WT03446","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","Tainui Drive ©","  {by BSC 210716 16:15 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1.1","",1.1,"ReadyC",TRUE,"T","WatTestHB","0198/7","BSC","21-Jul-16","mpk","21-Jul-16",2016-02-11,2016-02-12
"7",2016-01-31,"WT03398","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","54 Hikanui Drive","  {by BSC 210716 16:15 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1.1","",1.1,"ReadyC",TRUE,"T","WatTestHB","0139/6","BSC","21-Jul-16","mpk","21-Jul-16",2016-01-31,2016-02-05
"8",2016-01-30,"WT03389","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","41 Hikanui Drive","  {by BSC 210716 16:15 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1.1","",1.1,"ReadyC",TRUE,"T","WatTestHB","0138/5","BSC","21-Jul-16","mpk","21-Jul-16",2016-01-30,2016-02-05
"9",2016-01-28,"WT02972","Mo","Monitoring","9:01","","","HAV001HA","Havelock North","","High Tap on Tee Pee House","  {by BSC 210716 15:37 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","1","",1,"ReadyC",TRUE,"T","WatTestHB","0128/6","BSC","21-Jul-16","mpk","21-Jul-16",2016-01-28,2016-01-29
"10",2016-01-28,"WT03373","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","High Tap at Tee Pee House (Ret","  {by BSC 210716 16:15 using F template}   ","BSC","21-Jul-16","mpk","21-Jul-16","ECOLI","E. coli","2.2","",2.2,"ReadyC",TRUE,"T","WatTestHB","0132/1","BSC","21-Jul-16","mpk","21-Jul-16",2016-01-28,2016-01-29
"11",2015-10-01,"WT02152","Mo","Monitoring","9:01","","","HAV001HA","Havelock North","","Havelock Cemetery","  {by BSC 040316 11:47 using F template}   ","BSC","04-Mar-16","mpk","04-Mar-16","ECOLI","E. coli","1","",1,"ReadyC",TRUE,"T","WatTestHB","0966/8","BSC","04-Mar-16","mpk","04-Mar-16",2015-10-01,2015-10-02
"12",2015-10-01,"WT02707","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","393 Te Mata Road (Origin Earth","  {by BSC 040316 12:01 using F template}   ","BSC","04-Mar-16","mpk","04-Mar-16","ECOLI","E. coli","1.1","",1.1,"MF",TRUE,"T","WatTestHB","0970/5","BSC","04-Mar-16","mpk","04-Mar-16",2015-10-01,2015-10-02
"13",2015-10-01,"WT02708","Ca","Corrective Action","9:01","","","HAV001HA","Havelock North","","7 Durham Drive","  {by BSC 040316 12:01 using F template}   ","BSC","04-Mar-16","mpk","04-Mar-16","ECOLI","E. coli","2.2","",2.2,"MF",TRUE,"T","WatTestHB","0970/6","BSC","04-Mar-16","mpk","04-Mar-16",2015-10-01,2015-10-02
