"","variable","ReportWeek","ave.week.sum"
"1","amount",1997-09-12,6.4
"2","amount",1997-09-19,0.4
"3","amount",1997-09-26,32.6
"4","amount",1997-10-03,19.2
"5","amount",1997-10-10,9
"6","amount",1997-10-17,19
"7","amount",1997-10-24,20.4
"8","amount",1997-10-31,0
"9","amount",1997-11-07,0
"10","amount",1997-11-14,4.8
"11","amount",1997-11-21,10.6
"12","amount",1997-11-28,0
"13","amount",1997-12-05,0
"14","amount",1997-12-12,3.4
"15","amount",1997-12-19,0
"16","amount",1997-12-26,7.8
"17","amount",1998-01-02,0.4
"18","amount",1998-01-09,0
"19","amount",1998-01-16,4.2
"20","amount",1998-01-23,11
"21","amount",1998-01-30,0.4
"22","amount",1998-02-06,0
"23","amount",1998-02-13,0
"24","amount",1998-02-20,2.2
"25","amount",1998-02-27,17.6
"26","amount",1998-03-06,0
"27","amount",1998-03-13,1.2
"28","amount",1998-03-20,0.4
"29","amount",1998-03-27,0
"30","amount",1998-04-03,8.6
"31","amount",1998-04-10,18.2
"32","amount",1998-04-17,0.2
"33","amount",1998-04-24,5.8
"34","amount",1998-05-01,9.8
"35","amount",1998-05-08,5.4
"36","amount",1998-05-15,5.8
"37","amount",1998-05-22,0.8
"38","amount",1998-05-29,5.8
"39","amount",1998-06-05,1.8
"40","amount",1998-06-12,5.6
"41","amount",1998-06-19,8.8
"42","amount",1998-06-26,1.2
"43","amount",1998-07-03,21
"44","amount",1998-07-10,4.2
"45","amount",1998-07-17,119.6
"46","amount",1998-07-24,0.8
"47","amount",1998-07-31,37.8
"48","amount",1998-08-07,5.8
"49","amount",1998-08-14,16.8
"50","amount",1998-08-21,13.6
"51","amount",1998-08-28,1.6
"52","amount",1998-09-04,4.6
"53","amount",1998-09-11,2.2
"54","amount",1998-09-18,0
"55","amount",1998-09-25,0.4
"56","amount",1998-10-02,0.6
"57","amount",1998-10-09,2.6
"58","amount",1998-10-16,7
"59","amount",1998-10-23,3.2
"60","amount",1998-10-30,0.8
"61","amount",1998-11-06,12.2
"62","amount",1998-11-13,0
"63","amount",1998-11-20,2.8
"64","amount",1998-11-27,7
"65","amount",1998-12-04,38
"66","amount",1998-12-11,1.4
"67","amount",1998-12-18,6.8
"68","amount",1998-12-25,0
"69","amount",1999-01-01,0
"70","amount",1999-01-08,1.4
"71","amount",1999-01-15,1.8
"72","amount",1999-01-22,150.2
"73","amount",1999-01-29,6.8
"74","amount",1999-02-05,3.2
"75","amount",1999-02-12,7.8
"76","amount",1999-02-19,0
"77","amount",1999-02-26,3
"78","amount",1999-03-05,1.2
"79","amount",1999-03-12,4
"80","amount",1999-03-19,26.8
"81","amount",1999-03-26,13.6
"82","amount",1999-04-02,4
"83","amount",1999-04-09,28.8
"84","amount",1999-04-16,18.2
"85","amount",1999-04-23,62
"86","amount",1999-04-30,30.8
"87","amount",1999-05-07,45.4
"88","amount",1999-05-14,0.8
"89","amount",1999-05-21,6.6
"90","amount",1999-05-28,0
"91","amount",1999-06-04,103.8
"92","amount",1999-06-11,17.6
"93","amount",1999-06-18,4
"94","amount",1999-06-25,0
"95","amount",1999-07-02,0
"96","amount",1999-07-09,15
"97","amount",1999-07-16,24.4
"98","amount",1999-07-23,1
"99","amount",1999-07-30,19.2
"100","amount",1999-08-06,12.8
"101","amount",1999-08-13,4
"102","amount",1999-08-20,10.2
"103","amount",1999-08-27,0
"104","amount",1999-09-03,0.2
"105","amount",1999-09-10,1.4
"106","amount",1999-09-17,30.8
"107","amount",1999-09-24,0.8
"108","amount",1999-10-01,0.2
"109","amount",1999-10-08,9.6
"110","amount",1999-10-15,5
"111","amount",1999-10-22,1.4
"112","amount",1999-10-29,3.2
"113","amount",1999-11-05,7.4
"114","amount",1999-11-12,1
"115","amount",1999-11-19,17.6
"116","amount",1999-11-26,12.4
"117","amount",1999-12-03,82.4
"118","amount",1999-12-10,12.6
"119","amount",1999-12-17,2.4
"120","amount",1999-12-24,3
"121","amount",1999-12-31,0
"122","amount",2000-01-07,0.4
"123","amount",2000-01-14,0.8
"124","amount",2000-01-21,0
"125","amount",2000-01-28,16.2
"126","amount",2000-02-04,0
"127","amount",2000-02-11,0
"128","amount",2000-02-18,0
"129","amount",2000-02-25,0
"130","amount",2000-03-03,3.8
"131","amount",2000-03-10,11.2
"132","amount",2000-03-17,10.2
"133","amount",2000-03-24,42.4
"134","amount",2000-03-31,2.2
"135","amount",2000-04-07,7
"136","amount",2000-04-14,67.2
"137","amount",2000-04-21,22.6
"138","amount",2000-04-28,6.6
"139","amount",2000-05-05,0
"140","amount",2000-05-12,12.4
"141","amount",2000-05-19,18.6
"142","amount",2000-05-26,1.2
"143","amount",2000-06-02,23.6
"144","amount",2000-06-09,24.4
"145","amount",2000-06-16,5.6
"146","amount",2000-06-23,0
"147","amount",2000-06-30,7.8
"148","amount",2000-07-07,86.4
"149","amount",2000-07-14,28
"150","amount",2000-07-21,19.6
"151","amount",2000-07-28,0.2
"152","amount",2000-08-04,0
"153","amount",2000-08-11,0
"154","amount",2000-08-18,5
"155","amount",2000-08-25,6.2
"156","amount",2000-09-01,5.2
"157","amount",2000-09-08,0.4
"158","amount",2000-09-15,4.6
"159","amount",2000-09-22,0.2
"160","amount",2000-09-29,52.6
"161","amount",2000-10-06,10.6
"162","amount",2000-10-13,1
"163","amount",2000-10-20,0
"164","amount",2000-10-27,0
"165","amount",2000-11-03,1.6
"166","amount",2000-11-10,55.8
"167","amount",2000-11-17,3
"168","amount",2000-11-24,7.4
"169","amount",2000-12-01,13.6
"170","amount",2000-12-08,14
"171","amount",2000-12-15,8.6
"172","amount",2000-12-22,0.2
"173","amount",2000-12-29,2.6
"174","amount",2001-01-05,4.2
"175","amount",2001-01-12,18.4
"176","amount",2001-01-19,5.6
"177","amount",2001-01-26,4
"178","amount",2001-02-02,0
"179","amount",2001-02-09,2
"180","amount",2001-02-16,31.2
"181","amount",2001-02-23,30.6
"182","amount",2001-03-02,2.8
"183","amount",2001-03-09,14
"184","amount",2001-03-16,0.2
"185","amount",2001-03-23,8
"186","amount",2001-03-30,0.2
"187","amount",2001-04-06,20.2
"188","amount",2001-04-13,20.9
"189","amount",2001-04-20,0.2
"190","amount",2001-04-27,14.8
"191","amount",2001-05-04,12.6
"192","amount",2001-05-11,5.4
"193","amount",2001-05-18,0.4
"194","amount",2001-05-25,1
"195","amount",2001-06-01,16.6
"196","amount",2001-06-08,4.2
"197","amount",2001-06-15,3.8
"198","amount",2001-06-22,17.6
"199","amount",2001-06-29,7.8
"200","amount",2001-07-06,13.8
"201","amount",2001-07-13,18.2
"202","amount",2001-07-20,12.4
"203","amount",2001-07-27,44.6
"204","amount",2001-08-03,4.8
"205","amount",2001-08-10,1
"206","amount",2001-08-17,57.2
"207","amount",2001-08-24,0.2
"208","amount",2001-08-31,8.8
"209","amount",2001-09-07,30.4
"210","amount",2001-09-14,4.8
"211","amount",2001-09-21,0.6
"212","amount",2001-09-28,5.6
"213","amount",2001-10-05,0
"214","amount",2001-10-12,72.9
"215","amount",2001-10-19,0.6
"216","amount",2001-10-26,44.4
"217","amount",2001-11-02,25
"218","amount",2001-11-09,6.2
"219","amount",2001-11-16,1.8
"220","amount",2001-11-23,17.6
"221","amount",2001-11-30,2
"222","amount",2001-12-07,12.2
"223","amount",2001-12-14,57.4
"224","amount",2001-12-21,68.2
"225","amount",2001-12-28,5.2
"226","amount",2002-01-04,6.8
"227","amount",2002-01-11,54.8
"228","amount",2002-01-18,43
"229","amount",2002-01-25,1.6
"230","amount",2002-02-01,0.4
"231","amount",2002-02-08,4.8
"232","amount",2002-02-15,120.6
"233","amount",2002-02-22,4.2
"234","amount",2002-03-01,0.2
"235","amount",2002-03-08,0.4
"236","amount",2002-03-15,41.2
"237","amount",2002-03-22,1.6
"238","amount",2002-03-29,0
"239","amount",2002-04-05,0.2
"240","amount",2002-04-12,12.4
"241","amount",2002-04-19,2.2
"242","amount",2002-04-26,30.4
"243","amount",2002-05-03,2.6
"244","amount",2002-05-10,0
"245","amount",2002-05-17,6
"246","amount",2002-05-24,4.4
"247","amount",2002-05-31,3
"248","amount",2002-06-07,1.2
